# RA DEC
6.770940000000000225e+01 -6.285477199999999698e+01
6.784168800000000488e+01 -6.143502199999999647e+01
6.805253500000000599e+01 -6.184969199999999745e+01
6.825410800000000222e+01 -5.650249900000000025e+01
6.925991700000000151e+01 -5.312060400000000016e+01
6.957486400000000515e+01 -5.432124400000000009e+01
6.980865799999999410e+01 -4.601418499999999767e+01
6.992895900000000609e+01 -5.350375400000000070e+01
7.023067299999999591e+01 -4.696537099999999754e+01
7.045114200000000437e+01 -4.891903800000000047e+01
7.069396299999999655e+01 -4.315275599999999656e+01
7.074893899999999292e+01 -6.164175699999999836e+01
7.111360899999999674e+01 -5.605762299999999954e+01
7.116833699999999396e+01 -4.387351499999999760e+01
7.126634900000000528e+01 -4.943359499999999684e+01
7.127751299999999901e+01 -4.250871699999999720e+01
7.151559399999999300e+01 -5.882278199999999657e+01
7.173250899999999319e+01 -4.610118400000000349e+01
7.178213300000000174e+01 -5.069911599999999652e+01
7.184453299999999842e+01 -5.092269300000000243e+01
7.201602499999999907e+01 -4.060309900000000027e+01
7.213145600000000002e+01 -4.353865299999999650e+01
7.227416800000000308e+01 -4.902460399999999652e+01
7.296607899999999347e+01 -4.987958299999999667e+01
7.300343599999999356e+01 -4.811016000000000048e+01
7.309500300000000550e+01 -4.003936300000000159e+01
7.373524899999999604e+01 -4.218394299999999930e+01
7.399727099999999780e+01 -4.199308800000000019e+01
7.411626099999999440e+01 -5.127684099999999745e+01
7.412116100000000074e+01 -4.910560499999999706e+01
7.414748699999999815e+01 -6.168381999999999721e+01
7.417531499999999767e+01 -5.638549100000000180e+01
7.460330500000000598e+01 -5.769587099999999680e+01
7.492692900000000122e+01 -4.978723999999999705e+01
7.511981500000000267e+01 -4.722928900000000141e+01
7.521079799999999693e+01 -4.585635299999999859e+01
7.524246100000000581e+01 -5.127085699999999946e+01
7.529323499999999569e+01 -4.492695899999999654e+01
7.554503200000000618e+01 -6.123205099999999845e+01
